rainfall_mm,rainfall_7day_avg,rainfall_intensity,river_level_m,river_level_change,soil_moisture_percent,elevation_m,temperature_celsius,humidity_percent,wind_speed_kmh,distance_to_river_km,month,flood_risk
346.69,232.45,24.59,13.71,3.51,85.87,9.95,18.74,70.83,7.1,0.53,6,3
29.24,37.66,0.87,2.89,-0.43,45.03,320.21,26.86,91.38,11.87,9.93,1,0
75.37,69.9,11.09,6.16,0.76,71.36,69.01,19.85,81.08,33.03,2.66,5,1
110.27,72.87,5.86,7.55,0.59,63.81,136.98,31.74,69.22,5.14,3.01,12,1
132.49,135.23,17.15,8.81,1.18,77.25,66.96,24.47,71.65,34.95,1.68,9,2
20.59,3.88,1.18,1.21,0.3,49.46,134.98,30.23,75.37,32.54,3.34,4,0
106.53,66.54,6.06,5.31,0.7,66.02,92.91,30.31,74.41,5.67,4.89,7,1
91.41,64.43,10.03,5.94,0.32,72.16,62.89,19.4,73.14,7.21,4.03,8,1
45.64,9.93,2.89,1.66,-0.47,32.46,412.2,21.74,67.44,23.03,7.72,1,0
340.05,167.94,25.75,12.83,3.55,85.1,34.05,29.25,62.41,17.67,1.09,9,3
179.68,104.51,19.46,10.97,1.31,80.69,75.59,18.82,87.35,33.98,1.94,8,2
29.03,38.14,3.25,3.69,-0.36,39.7,246.83,31.61,76.12,7.2,11.01,4,0
9.65,8.16,0.94,2.96,0.14,42.76,457.28,29.72,83.37,20.73,13.82,8,0
411.39,207.21,21.0,13.7,3.61,96.29,34.21,29.87,70.2,16.77,1.27,7,3
437.85,155.07,33.44,11.55,3.36,85.8,12.84,25.46,94.21,33.28,0.61,8,3
221.28,182.42,21.78,11.63,2.96,91.1,14.4,20.85,65.15,39.06,0.24,8,3
49.44,37.96,0.39,4.73,-0.21,53.79,267.35,28.78,87.11,6.18,10.49,3,0
7.62,39.7,4.64,3.16,0.17,40.84,349.43,30.84,64.47,33.91,4.52,6,0
31.34,27.41,0.62,4.78,-0.23,48.53,309.68,32.39,88.64,18.86,6.79,5,0
116.74,46.48,10.21,5.96,0.87,70.46,142.62,24.98,60.38,32.75,3.99,7,1
18.48,13.17,2.12,3.29,0.22,35.78,492.45,26.7,82.54,8.58,15.9,12,0
24.95,37.96,4.71,1.72,-0.35,26.54,415.57,20.16,78.83,13.66,3.1,7,0
168.48,92.35,14.06,10.45,1.31,80.01,59.86,25.83,91.49,12.69,1.62,8,2
59.98,47.49,11.24,5.02,0.87,67.75,105.93,25.33,64.05,8.6,3.85,3,1
38.23,14.58,4.09,1.39,0.04,31.73,418.15,29.31,92.7,5.72,9.84,4,0
92.0,51.67,9.86,7.58,0.85,60.59,98.05,22.11,94.53,9.99,1.87,6,1
53.66,69.71,6.21,5.1,0.62,72.98,65.08,19.87,72.73,25.31,1.55,12,1
51.2,72.81,11.16,7.57,0.56,66.93,51.24,25.83,91.74,36.29,2.9,8,1
5.13,24.5,0.47,4.02,-0.48,29.98,456.27,19.24,88.74,22.26,15.22,8,0
18.86,1.56,3.09,2.35,0.02,35.42,372.65,22.43,77.36,29.25,8.79,2,0
16.82,23.57,2.27,3.98,-0.33,20.43,410.62,19.01,81.38,18.24,16.97,9,0
160.79,128.65,15.5,8.37,1.85,89.28,67.58,29.0,92.57,19.99,1.66,7,2
408.25,172.73,39.73,11.09,4.43,91.85,15.61,19.13,94.63,6.38,0.61,8,3
12.54,35.78,3.58,3.56,0.03,36.57,117.82,29.54,76.55,36.49,16.34,8,0
37.08,27.74,1.25,2.01,0.0,50.49,450.59,34.4,80.35,36.8,17.49,2,0
65.84,45.27,11.21,5.83,0.46,72.86,131.71,26.32,67.62,7.74,3.07,5,1
75.62,40.06,9.06,7.45,0.33,60.05,122.78,24.9,83.16,38.37,3.89,2,1
86.72,72.66,10.25,6.2,0.36,71.53,66.87,32.34,80.24,36.21,1.56,10,1
235.4,181.33,27.05,13.58,3.48,85.35,29.78,27.03,91.28,13.99,0.64,6,3
25.01,16.48,4.35,3.53,-0.07,24.62,342.26,23.73,65.0,29.22,4.99,7,0
97.31,57.71,8.12,7.17,0.31,65.12,131.87,23.73,91.69,32.04,3.61,4,1
86.25,75.16,11.26,6.36,0.62,67.73,101.96,29.04,69.71,23.6,4.83,9,1
179.87,106.35,16.88,8.48,2.01,77.69,61.64,20.0,65.78,5.07,0.96,8,2
