sea_surface_temp_c,atmospheric_pressure_hpa,wind_speed_kmh,wind_shear_kms,humidity_percent,coastal_distance_km,latitude,coriolis_parameter,cloud_top_temp_c,vorticity,previous_cyclone_30d,month,risk_level
21.1,1003.1,21.4,33.5,64.7,239.3,11.32,2.8638,-59.7,0.46,0,3,0
26.8,992.5,45.0,16.2,80.3,497.4,17.8,4.4587,-20.2,0.13,0,5,2
27.9,969.1,60.0,18.5,75.0,461.9,20.18,5.0305,-48.9,12.12,1,10,2
22.5,1000.4,61.6,26.7,77.4,199.8,11.46,2.8974,-51.6,0.12,0,12,1
26.4,970.1,61.6,12.4,81.5,543.5,23.84,5.8937,-24.8,7.55,1,6,2
27.9,1017.9,18.7,41.6,61.3,492.7,12.75,3.2184,-59.5,0.44,0,4,0
23.0,1007.8,46.5,16.1,74.6,133.2,12.18,3.0761,-45.6,1.98,0,7,0
27.8,1009.3,17.2,21.6,70.7,521.2,17.82,4.4623,-40.5,0.45,0,3,0
22.4,1024.1,19.1,38.0,69.0,478.6,22.71,5.6306,-23.6,0.2,0,8,0
30.0,988.8,109.1,45.8,69.8,178.4,17.81,4.4605,-47.3,0.23,0,11,3
31.5,980.3,80.1,11.8,85.0,545.0,20.68,5.1504,-44.0,2.75,0,5,2
31.6,986.2,59.5,52.4,68.2,739.4,20.94,5.2125,-56.9,1.07,1,5,2
21.3,1008.9,51.8,32.9,80.0,152.5,10.06,2.5468,-51.4,0.75,0,8,0
28.7,976.6,57.4,22.6,69.3,89.1,20.12,5.0175,-48.9,0.68,0,10,3
27.2,1006.8,99.0,17.0,82.2,369.6,24.79,6.1159,-42.8,0.9,0,7,1
27.5,979.2,26.5,26.1,93.1,227.5,16.67,4.183,-54.9,5.65,0,5,2
29.2,997.3,52.3,9.2,82.7,352.2,16.46,4.1318,-43.3,3.3,1,11,2
25.3,1026.4,24.1,28.5,89.9,446.8,16.26,4.0847,-55.9,0.07,1,9,0
24.6,1010.0,41.5,12.0,93.7,283.3,9.48,2.4022,-20.3,1.22,0,12,0
26.3,1018.0,20.4,24.5,80.8,196.6,23.77,5.879,-24.7,0.2,0,3,0
25.4,1015.6,23.3,33.4,69.6,227.8,8.08,2.0493,-36.9,1.66,0,7,0
21.9,1016.4,45.4,36.9,66.5,561.4,9.43,2.39,-58.1,0.22,0,9,0
30.3,969.5,59.0,8.8,70.8,488.1,12.15,3.0687,-47.6,0.79,1,5,2
20.3,1009.8,97.0,37.7,82.4,235.2,12.74,3.2168,-48.1,0.69,0,1,1
