seismic_zone,ground_acceleration_g,p_wave_velocity_kms,s_wave_velocity_kms,recent_quakes_30d,max_recent_magnitude,fault_distance_km,soil_type,building_age_years,bedrock_depth_m,historical_count_5y,population_density,hour_of_day,month,risk_level
2,0.313,5.3,3.1,2,3.6,140.1,2,40,31.8,7,5673.0,2,12,0
2,0.01,5.42,2.56,1,2.7,111.9,3,13,18.8,11,2362.0,4,8,0
5,0.228,5.03,3.23,13,6.8,33.5,1,77,53.2,22,3694.0,5,7,2
3,0.233,5.16,2.81,2,2.3,378.3,2,67,60.9,17,4191.0,23,6,0
4,1.894,4.82,2.85,10,5.0,75.9,4,53,9.1,17,3845.0,2,9,3
5,0.001,4.96,2.76,12,4.5,56.3,3,73,31.5,29,2712.0,23,8,2
5,0.111,6.03,2.77,8,3.9,106.2,2,77,82.9,29,4057.0,1,10,2
4,0.217,4.55,2.94,10,2.2,117.6,1,16,41.9,23,5266.0,6,11,1
3,0.67,5.65,2.89,7,2.6,134.0,4,43,22.0,6,5591.0,0,3,2
3,0.039,4.88,3.14,6,2.6,63.3,1,19,41.3,16,5196.0,7,10,1
3,0.037,5.44,3.64,6,4.0,113.3,2,73,29.5,9,2954.0,1,3,1
4,0.152,4.8,2.6,9,2.7,42.8,4,72,23.4,18,5394.0,11,10,2
3,1.174,4.79,3.08,14,3.1,95.3,3,79,44.9,13,3955.0,15,9,2
5,0.493,5.07,2.57,13,4.0,227.9,3,83,29.2,29,3484.0,21,4,2
5,0.398,4.99,3.53,13,5.6,48.4,2,82,36.5,29,2113.0,12,6,3
5,0.214,6.23,2.65,10,6.8,78.9,1,1,75.9,23,2638.0,15,10,2
2,0.149,4.74,3.31,4,2.3,127.7,4,80,67.0,17,5683.0,3,4,1
2,0.036,4.96,3.18,3,3.3,50.7,3,27,29.3,14,4509.0,4,8,1
4,0.102,4.18,3.26,7,4.9,96.3,3,84,40.3,17,3721.0,9,2,2
2,0.065,4.51,3.06,3,3.8,78.9,2,73,29.2,11,1356.0,8,7,0
3,0.015,4.26,3.07,3,2.8,49.9,3,31,33.8,19,496.0,3,6,2
5,0.125,5.29,2.38,9,5.9,106.9,2,40,23.2,21,2953.0,19,4,2
4,0.898,5.62,3.15,7,3.0,37.2,3,91,61.4,20,2396.0,15,5,3
