rainfall_mm,rainfall_7day_avg,rainfall_intensity,river_level_m,river_level_change,soil_moisture_percent,elevation_m,temperature_celsius,humidity_percent,wind_speed_kmh,distance_to_river_km,month,risk_level
154.9,205.05,6.45,7.76,0.091,95.0,77.7,27.5,95.0,27.3,4.19,7,2
19.26,21.57,0.8,5.79,0.05,49.2,114.2,21.9,59.8,22.6,9.79,12,0
73.33,77.76,3.06,3.64,0.065,72.2,55.5,30.7,83.0,22.8,7.82,3,1
39.12,37.13,1.63,4.57,-0.023,72.4,337.7,28.8,85.5,9.7,12.94,1,0
386.57,501.71,16.11,13.43,0.341,95.0,98.6,28.3,95.0,14.9,1.19,9,2
40.0,53.29,1.67,6.65,0.042,71.6,285.1,30.4,78.1,25.6,4.32,11,0
245.41,195.27,10.23,11.55,0.22,95.0,177.4,34.2,95.0,18.0,2.41,6,2
51.34,41.66,2.14,5.23,-0.016,76.0,233.4,28.8,69.1,15.0,12.8,4,1
48.76,55.17,2.03,7.51,0.028,58.5,117.0,30.7,60.0,19.1,13.79,12,0
37.05,33.17,1.54,4.05,0.043,60.4,65.0,22.2,78.8,26.2,7.97,5,0
43.94,32.57,1.83,4.36,0.029,57.5,264.5,29.2,81.6,21.7,7.72,11,0
198.35,202.13,8.26,10.42,0.147,95.0,292.1,29.5,95.0,25.2,3.78,8,2
118.97,120.09,4.96,9.61,0.083,81.9,435.3,24.5,95.0,22.1,7.66,7,1
160.01,183.47,6.67,9.89,0.108,95.0,360.2,24.6,95.0,42.7,10.49,2,2
75.98,59.35,3.17,9.37,0.141,78.4,170.7,29.9,87.6,30.4,4.4,8,1
34.49,38.18,1.44,7.05,0.051,71.1,248.9,22.0,76.3,31.1,5.54,1,1
39.67,28.54,1.65,6.54,0.028,72.6,503.4,31.0,83.5,11.4,5.2,12,0
166.79,240.85,6.95,6.39,0.165,95.0,95.4,23.7,87.5,25.9,9.73,9,1
73.65,102.65,3.07,9.47,0.083,80.5,248.3,43.4,74.9,10.6,13.72,10,1
138.41,114.05,5.77,10.81,0.122,91.1,71.6,28.6,95.0,26.8,5.91,7,2
14.89,16.75,0.62,6.91,0.069,64.5,144.0,31.3,66.1,6.2,7.83,7,0
23.1,28.9,0.96,2.7,0.014,52.5,54.6,31.3,70.1,22.3,14.75,5,0
88.82,73.44,3.7,3.82,0.046,71.5,233.4,26.9,90.7,25.1,1.24,7,1
40.96,49.48,1.71,4.53,0.094,63.7,329.3,22.3,77.5,16.9,1.7,5,0
66.14,76.64,2.76,4.58,0.075,74.6,305.5,29.9,69.7,9.6,3.8,11,0
26.54,25.35,1.11,6.98,-0.004,62.8,275.9,26.6,63.8,21.6,12.12,2,0
113.77,113.5,4.74,9.48,0.118,95.0,208.7,27.2,95.0,27.2,5.69,3,2
43.26,32.13,1.8,8.21,0.019,73.6,214.6,31.9,61.4,23.5,3.33,6,1
67.5,89.88,2.81,3.2,0.027,73.5,236.9,28.0,67.8,28.8,2.91,5,1
112.17,85.05,4.67,8.7,0.074,79.1,512.7,28.9,95.0,54.2,9.61,6,1
170.78,171.19,7.12,8.85,0.109,95.0,116.2,23.3,95.0,33.7,10.08,6,2
65.62,65.61,2.73,4.68,0.04,81.1,195.5,29.8,79.0,46.1,9.1,3,0
27.55,22.95,1.15,2.95,-0.014,63.9,439.0,34.1,58.7,11.7,4.43,3,0
30.13,35.16,1.26,3.41,0.039,56.2,308.2,35.5,80.7,43.4,9.69,4,0
183.25,255.23,7.64,5.86,0.15,95.0,475.0,26.9,95.0,36.5,6.82,9,1
7.44,5.29,0.31,2.94,0.02,57.5,365.6,35.6,62.8,11.3,11.58,2,0
91.91,81.15,3.83,6.33,0.013,72.9,220.2,33.1,93.9,22.6,9.88,1,1
17.03,12.32,0.71,8.36,0.076,49.9,27.4,31.5,65.2,27.7,7.4,11,1
38.4,54.85,1.6,6.46,0.111,68.7,231.5,28.9,59.1,19.7,5.52,4,0
34.41,38.88,1.43,3.68,-0.045,65.4,162.2,34.0,72.3,46.0,10.4,11,0
9.28,8.57,0.39,1.81,-0.052,50.4,211.2,27.2,70.7,23.2,8.21,3,0
46.79,60.77,1.95,3.5,0.016,65.3,176.4,23.1,60.5,21.6,9.46,1,0
