temperature_c,temp_max_c,temp_min_c,temp_trend,humidity_percent,heat_index,wind_speed_kmh,uv_index,consecutive_hot_days,urban_area,soil_moisture_percent,cloud_cover_percent,previous_heatwave_30d,month,risk_level
44.6,47.8,33.7,0,62.2,52.5,29.9,5.9,1,1,34.4,5.6,0,8,2
39.6,39.3,26.4,0,65.2,45.8,37.9,4.8,1,1,38.1,58.2,0,6,1
32.2,37.9,25.5,1,69.0,38.5,9.2,3.6,0,0,44.5,94.6,0,5,0
34.1,35.7,27.4,-1,78.2,40.5,30.5,5.7,4,1,49.4,31.6,1,7,1
34.1,39.5,25.5,-1,76.7,41.9,22.2,6.5,2,0,42.8,93.4,0,11,1
44.5,48.3,36.9,-1,61.7,52.1,19.7,6.2,2,1,25.5,43.7,0,7,2
37.7,38.0,29.6,0,68.0,42.9,13.9,5.5,3,1,50.2,50.4,1,5,1
53.5,53.9,42.4,0,46.3,59.8,29.5,8.8,4,1,18.5,12.7,0,7,3
30.1,33.3,21.3,1,76.8,36.3,26.1,5.3,2,0,54.8,39.0,1,5,0
28.3,34.5,22.4,1,72.4,33.5,12.7,4.4,1,0,49.8,83.4,0,12,0
28.7,32.4,19.9,-1,86.5,35.1,18.5,5.1,2,0,52.8,28.4,0,11,0
40.4,39.9,33.3,1,63.2,45.1,17.2,5.3,3,1,31.5,73.5,0,8,1
39.9,44.0,30.8,0,56.9,45.5,16.2,4.9,1,1,41.2,15.5,0,2,1
18.4,19.7,10.0,1,92.9,16.1,32.8,0.0,2,1,52.6,48.4,0,8,0
31.1,31.2,24.8,0,74.0,36.3,31.8,4.3,3,1,40.4,29.0,1,12,0
44.3,44.6,34.3,-1,69.4,52.3,24.0,6.1,3,1,30.2,5.0,0,4,2
20.3,24.6,10.0,0,95.0,21.7,41.7,1.6,1,1,53.4,45.7,0,11,0
32.6,34.0,27.0,0,73.1,40.3,17.5,5.3,1,1,51.2,63.4,0,6,0
23.7,23.3,11.3,0,89.2,21.0,28.3,1.5,1,1,48.1,66.6,1,8,0
32.5,32.1,25.0,1,79.5,36.0,20.4,3.9,1,1,37.9,85.2,0,8,0
42.7,47.9,31.7,0,66.9,51.7,29.1,8.3,5,1,40.4,51.7,0,4,3
32.6,40.1,23.7,1,72.9,39.4,86.6,4.8,1,0,55.6,4.2,0,10,0
29.8,33.5,21.3,1,87.5,36.8,30.6,3.1,2,0,47.8,7.2,0,9,0
27.8,32.9,21.5,1,86.7,33.8,33.3,4.7,0,0,54.6,21.4,0,1,0
48.7,50.8,41.0,1,58.4,56.4,23.2,6.8,4,1,29.5,17.0,0,6,3
30.6,36.4,20.7,-1,78.2,36.3,24.2,4.7,1,1,43.7,25.7,0,2,0
24.9,28.6,12.0,-1,95.0,22.3,15.6,2.0,0,1,49.2,2.1,0,2,0
44.9,48.9,34.5,-1,58.7,54.4,16.2,6.4,4,1,32.6,35.9,1,7,2
43.8,43.9,36.7,-1,58.2,50.2,11.4,7.8,0,1,41.4,39.2,0,6,2
31.0,36.2,23.4,-1,82.6,38.0,19.6,4.9,4,0,57.6,53.1,1,6,1
