slope_angle_deg,rainfall_24h_mm,rainfall_7d_mm,soil_moisture_percent,soil_cohesion_kpa,soil_friction_angle,vegetation_cover_pct,elevation_m,historical_landslides,soil_type,deforestation,groundwater_depth_m,seismic_activity,month,risk_level
58.1,48.0,74.2,79.1,45.8,44.0,57.4,1686.4,0,3,0,10.3,1,10,2
53.2,122.6,467.9,95.0,49.7,35.3,69.9,359.9,2,3,0,12.7,0,8,3
16.0,46.9,59.1,68.3,38.6,17.1,85.2,1582.5,2,3,0,14.0,1,4,1
50.2,19.5,54.5,48.6,15.8,42.8,100.0,1821.4,2,4,0,22.9,0,4,1
61.1,192.2,595.8,95.0,19.3,35.1,0.9,2123.1,1,3,1,16.8,1,7,3
61.6,56.7,75.8,85.8,14.9,36.6,49.8,2137.7,3,3,0,27.0,0,5,2
21.8,84.3,253.9,88.4,30.6,37.2,98.3,359.7,1,5,0,19.3,0,6,2
54.8,38.4,108.6,77.0,33.4,15.3,19.0,684.9,2,2,1,19.2,0,5,2
42.6,5.3,13.0,36.7,36.0,19.5,86.0,1873.3,2,4,0,11.0,0,1,1
31.2,32.5,92.4,55.7,40.7,24.9,96.4,665.0,1,2,0,3.6,0,11,0
32.4,449.1,1909.3,95.0,32.4,41.9,62.1,2988.4,1,4,0,8.6,0,6,3
68.7,25.7,73.1,62.4,10.5,39.7,63.0,146.8,1,4,0,17.2,0,2,2
36.4,237.9,808.0,95.0,22.5,20.2,92.5,714.4,3,4,0,19.5,0,7,3
39.3,248.6,971.5,95.0,27.2,31.0,98.4,1853.0,3,4,0,4.3,0,9,3
32.0,36.7,39.7,51.1,24.5,24.5,46.9,1616.9,6,4,0,20.0,0,5,1
48.5,203.7,844.0,95.0,45.0,28.6,18.6,1348.8,2,5,1,6.0,0,9,3
121.4,83.6,221.1,86.0,39.5,38.6,61.6,2736.1,1,3,0,30.6,0,9,2
26.6,28.7,64.7,70.5,12.5,42.9,95.7,1784.3,1,5,0,17.5,0,2,1
29.7,18.5,46.2,63.4,24.6,20.8,57.5,1260.3,4,3,0,18.9,0,4,1
68.3,194.6,799.0,95.0,43.2,38.9,84.8,760.2,2,5,0,26.6,0,8,3
7.1,22.7,27.4,46.8,17.1,37.1,96.0,1450.0,3,3,0,24.3,0,4,0
62.8,44.6,105.8,69.3,33.2,25.6,35.0,1083.6,0,4,0,3.6,0,3,2
29.3,41.1,68.7,66.6,12.4,24.7,20.0,2535.5,1,1,1,20.9,0,2,1
59.4,48.1,108.9,65.1,44.1,26.0,47.4,1382.1,3,5,0,19.4,1,10,2
58.0,195.6,953.0,95.0,34.2,17.7,4.6,373.9,3,2,1,13.5,0,7,3
67.2,12.8,31.2,43.8,19.1,15.4,65.9,2300.7,0,2,0,23.6,0,3,1
30.4,51.3,134.9,73.2,30.2,34.6,97.5,2487.6,1,4,0,12.0,0,1,2
13.3,55.1,107.4,79.5,45.3,33.0,40.9,1769.9,1,1,0,14.4,0,2,0
24.6,233.6,593.2,95.0,44.6,23.0,38.6,395.2,0,4,0,12.4,0,9,3
30.1,41.0,73.4,78.6,27.7,36.6,41.7,2197.5,2,3,0,14.1,0,5,1
32.3,61.1,295.8,88.5,40.8,21.2,77.3,1071.2,2,4,0,17.4,0,9,2
57.5,30.8,130.9,68.6,47.5,23.7,22.5,1763.9,0,4,1,17.7,0,8,2
33.4,48.2,71.1,62.5,17.0,31.4,65.6,368.7,1,4,0,21.7,0,3,1
40.5,34.7,78.9,72.7,15.0,33.5,99.3,2412.5,2,4,0,17.8,1,4,2
41.9,54.1,116.3,65.0,41.8,36.0,23.4,1738.3,3,3,1,4.4,0,4,2
20.4,9.1,22.1,38.7,17.3,32.7,92.0,2290.1,2,2,0,18.5,0,11,0
65.9,36.9,54.1,75.9,9.0,39.9,56.1,453.7,2,2,0,13.3,0,10,1
62.1,287.0,826.6,95.0,40.9,27.6,62.1,684.4,0,5,0,11.6,0,8,3
76.5,29.0,37.6,53.0,49.7,40.7,30.7,1892.3,3,4,0,5.4,0,1,2
13.0,43.2,108.1,66.6,30.3,40.4,4.0,1606.5,0,4,1,20.3,0,2,1
53.5,22.7,23.0,60.1,10.1,19.0,16.4,1259.8,3,4,1,17.8,0,11,2
35.8,31.2,82.3,73.0,38.8,35.4,21.8,1949.5,2,3,1,28.5,0,5,2
33.6,48.2,101.3,69.4,45.1,34.1,52.2,1214.5,1,2,0,11.1,0,12,0
46.0,40.0,112.1,74.9,34.7,40.4,26.0,2581.9,1,2,1,24.8,1,2,2
57.7,351.6,1716.4,95.0,30.8,25.9,61.6,2257.8,0,1,0,6.9,0,7,3
36.8,35.4,99.7,53.7,42.8,16.8,85.7,2718.5,2,3,0,22.0,0,2,1
68.3,43.3,62.3,73.8,25.2,41.0,86.0,2879.1,3,4,0,20.3,0,10,2
